,document,spac_doc,token_doc
3018,만족합니다 촉감 전부 역시 드로우핏이네요스타일 핏이고 좋았고 입니다와이드한 입는 않네요,만족합니다 촉감 전부 역시 드로우 핏이네요 스타일 핏이고 좋았고 입니다와이드 한 입는 않네요,"['만족하다', '촉감', '로우', '스타일', '좋다', '와이드', '입다']"
3019,만족해요 후드집업으로 그냥 기본 예스아이씨 아쥬 귀여운 길긴한데 길이감은 낭낭해요재질은,만족해요 후드집업으로 그냥 기 본 예스아이씨 아쥬 귀여운 길긴 한데 길이감은 낭낭해요 재질은,"['만족하다', '후드', '집업', '귀엽다', '길다', '길이', '감다', '재질']"
3020,하나 바로 후드 좋아했습니다감사합니다 구매했습니다받은 사람도 헤비웨이트 선물용으로 가성비좋아요 필요했는데,하나 바로 후드 좋아했습니다 감사합니다 구매했습니다 받은 사람도 헤비웨이트 선물용으로 가성비 좋아요 필요했는데,"['후드', '좋아하다', '감사하다', '구매', '사람', '헤비', '투웨이', '선물', '가성비', '좋다', '필요하다']"
3021,진짜 아이템들이에여 샀는데 맘에드는 너무 가성비있게,진짜 아이템들이에 여 샀는데 맘에 드는 너무 가성비 있게,"['아이템', '사다', '가성비']"
3022,예뻐요 색감 어둡고 안지워지네요 실물이 시스루 사진이랑 사진보다 묻은게 똑같아서,예뻐요 색감 어둡고 안 지워지네요 실물이 시스루 사진이랑 사진보다 묻은 게 똑같아서,"['예쁘다', '색감', '어둡다', '실물', '사진', '사진', '묻다', '똑같다']"
3023,입을 되어 시원하게 있을 구매했어요여름용이라 바지 흑청 매일매일 찾고있었는데 입을거,입을 되어 시원하게 있을 구매했어요 여름용이라 바지 흑청 매일매일 찾고 있었는데 입을 거,"['시원하다', '구매', '여름', '용이', '바지', '매일', '찾다']"
3024,입고 다닙니다 하나는 아들이 러닝 하나로 그라미치 역시나 끝나는 한번,입고 다닙니다 하나는 아들이 러닝 하나로 그라미치 역시나 끝나는 한 번,"['입다', '다니다', '아들', '러닝', '끝나다']"
3025,생각보다 사이즈 비슷한 둘레 딱맞아요 구매했는데 있어서 청바지가 오버하고 얇아요레이어드용,생각보다 사이즈 비슷한 둘레 딱 맞아 요 구매했는데 있어서 청바지가 오버하고 얇아 요레이어드용,"['생각', '사이즈', '둘레', '맞다', '구매', '청바지', '오버', '얇다', '레이어', '드용']"
3026,향도 릴렉스 기분이에용 되는 오래가고 우디향에 오래가는데 오래갓으면 살려구요 신발장냄새가,향도 릴렉스 기분이 에 용 되는 오래가고 우디 향에 오래가는데 오래 갓으면 살려 구요 신발장 냄새가,"['기분', '오래', '오래', '오래', '살리다', '구요', '냄새']"
3027,좋고 어울려요 제품 착용감이 여름 기장감이 적당해서 만족하고있어요 통도적당하고 좋아요길이감도,좋고 어울려 요 제품 착용감이 여름 기장감이 적당해서 만족하고 있어요 통도 적당하고 좋아요길이 감도,"['좋다', '어울리다', '제품', '착용', '여름', '기장', '적당하다', '만족하다', '적당하다', '좋다', '길이', '감다']"
3028,화이트 했더니 하길래 핏은 팬츠라고 이쁩니다 약간의 아이보리색을 색상의 상세설명에,화이트 했더니 하길래 핏은 팬츠라고 이쁩니다 약간의 아이보리색을 색상의 상세 설명에,"['화이트', '팬츠', '예쁘다', '아이보리', '색상', '상세', '설명']"
3029,핏도 살짝 짧지만 잘샀습니당 따뜻하고 예뻐용 팔이 더울꺼 떨어지고 말려들어가서,핏도 살짝 짧지만 잘 샀습니 당 따뜻하고 예뻐용 팔이 더울꺼 떨어지고 말려들어가서,"['살짝', '짧다', '자다', '사다', '따뜻하다', '예쁘다', '팔이', '덥다', '떨어지다', '말리다', '들어가다']"
3030,탄탄해서 좋아요 정사이즈로 소재가 됩니다 가면,탄탄해서 좋아요 정 사이즈로 소재가 됩니다 가면,"['탄탄하다', '좋다', '사이즈', '소재', '가면']"
3031,여유 사이즈가 편하고 있는 있고 귀여워요 낫겠죠 타이트하고 애매한데 좋습니다,여유 사이즈가 편하고 있는 있고 귀여워요 낫겠죠 타이트하고 애매한 데 좋습니다,"['여유', '사이즈', '편하다', '귀엽다', '애매하다', '좋다']"
3032,폴로느낌도 포인트 자수 어울릴거같아요 약간 셔츠에 나면수 귀엽고,폴로 느낌도 포인트 자수 어울릴 거 같아 요 약간 셔츠에 나면 수 귀엽고,"['폴로', '느낌', '포인트', '자수', '어울리다', '셔츠', '귀엽다']"
3033,이뻐서 보고 매일 가족한테도 선뮬해줫네요 이쁘다규해료 무신사에서 시켰는데 오프라인에서 만족입니덩,이 뻐서 보고 매일 가족한테도 선뮬해 줫네요 이쁘다 규 해료 무신사에서 시켰는데 오프라인에서 만족입니덩,"['매일', '가족', '예쁘다', '무신', '만족']"
3034,이뻐서 너무 한달 용서가능 아이보리도 사야겠어여 남게 기다렸지만 하지만 핑크가,이 뻐서 너무 한 달 용서 가능 아이보리도 사야겠어 여 남게 기다렸지만 하지만 핑크가,"['가능', '아이보리', '사다', '기다리다', '핑크']"
3035,않은 크롭보다는 크게 제품 얇은 부담스럽지 디자인 두께에 길어서 괜찮은,않은 크롭보다는 크게 제품 얇은 부담스럽지 디자인 두께에 길어서 괜찮은,"['크롭', '크게', '제품', '얇다', '부담', '스럽지', '디자인', '두께', '기다', '괜찮다']"
3036,폼클렌징은 돌아서 기타 낫네요그냥 닥터땡 독도네요라운드땡 독도만 돌고 되겠어요 제품,폼클렌징은 돌아서 기타 낫네요 그냥 닥터땡 독도네요 라운드 땡 독도만 돌고 되겠어요 제품,"['라운드', '돌다', '제품']"
3037,약간 챙때문에 전투모 인데 볼캡보다 베레모 많이 마지노선인 두상 더블알엘,약간 챙 때문에 전투 모 인데 볼캡보다 베레모 많이 마지노선인 두상 더블알엘,"['전투', '볼캡']"
