,user_id,keywords_by_frequency,keywords_by_similarity
299,165-53,좋다 입다 예쁘다,코디 생각 쓰다
300,166842,좋다 가격 할인,사다 코디 귀엽다
301,166cm 46kg 재수생,좋다 입다 요즘,생각 쓰다 코디
302,167816,좋다 예쁘다 쓰다,쓰다 코디 귀엽다
303,168464,좋다 가격 싸다,사다 쓰다 귀엽다
304,170.60.w.j,좋다 입다 자다,생각 쓰다 만족스럽다
305,170614,좋다 입다 재질,생각 코디 쓰다
306,171.66,입다 좋다 사이즈,생각 코디 쓰다
307,1710h,구매 좋다 만족하다,쓰다 구매 만족스럽다
308,171cm 참고하세요,좋다 바지 구매,만족스럽다 생각 코디
309,172.2,좋다 입다 세탁,코디 쓰다 생각
310,173.66,좋다 입다 사용,쓰다 생각 코디
311,17317071,좋다 예쁘다 입다,생각 코디 사다
312,173__,자다 사이즈 입다,쓰다 생각 귀엽다
313,174cm_78kg,입다 좋다 편하다,생각 사다 코디
314,17510,입다 좋다 자다,생각 쓰다 귀엽다
315,17633626,좋다 구매 편하다,코디 쓰다 생각
316,177cm코디,좋다 제품 자다,생각 쓰다 귀엽다
317,178542,좋다 구매 사이즈,귀엽다 생각 쓰다
318,17년3월제대,예쁘다 입다 자다,생각 코디 쓰다
319,17이다희,좋다 입다 예쁘다,코디 쓰다 귀엽다
320,180-75,예쁘다 좋다 원하다,예쁘다 생각 코디
321,180179,좋다 예쁘다 입다,생각 코디 쓰다
322,180715,입다 좋다 사다,사다 귀엽다 만족스럽다
323,1808,좋다 입다 사다,사다 생각 쓰다
324,181,구매 좋다 자다,쓰다 귀엽다 코디
325,182320,입다 사이즈 좋다,생각 코디 사다
326,182733,좋다 자다 입다,생각 코디 쓰다
327,1828324,예쁘다 입다 좋다,생각 쓰다 귀엽다
328,183 78,좋다 입다 추천,생각 좋다 코디
329,183.71,좋다 자다 입다,쓰다 생각 귀엽다
330,183_cm,좋다 구매 사이즈,좋다 사다 코디
331,184995,자다 좋다 가격,쓰다 사다 생각
332,185ho,좋다 입다 원단,코디 생각 쓰다
333,187 65,좋다 사다 사이즈,사다 생각 쓰다
334,189-71,추천 좋다 사이즈,쓰다 귀엽다 생각
335,189_,입다 좋다 기다,생각 코디 쓰다
336,18거북이,좋다 예쁘다 입다,생각 코디 쓰다
337,1900mm_,좋다 편하다 사다,사다 코디 생각
338,190131,좋다 사이즈 크다,생각 코디 귀엽다
339,190cm.,좋다 입다 생각,생각 쓰다 사다
340,19102539,좋다 입다 사다,사다 생각 코디
341,191cm,좋다 사이즈 입다,생각 귀엽다 쓰다
342,1925,좋다 생각 예쁘다,생각 코디 귀엽다
343,1927291,좋다 예쁘다 입다,생각 코디 쓰다
344,193929,입다 좋다 두껍다,생각 코디 귀엽다
345,193940,좋다 만족스럽다 구매,만족스럽다 사다 생각
346,196189,좋다 입다 기준,코디 생각 쓰다
347,19781226,좋다 아주 사이즈,쓰다 생각 코디
348,198903,입다 사이즈 좋다,생각 코디 쓰다
349,19950825,적당하다 좋다 길이,생각 코디 사다
350,1996SS,좋다 자다 입다,쓰다 코디 생각
351,19도여름,좋다 입다 사다,사다 생각 만족스럽다
352,1CO 1P,좋다 입다 구매,코디 생각 쓰다
353,1CR,구입 좋다 가격,생각 만족스럽다 귀엽다
354,1KWARRUP,좋다 재질 예쁘다,귀엽다 쓰다 생각
355,1RM핑크덤벨,사다 좋다 입다,사다 코디 생각
356,1_one,좋다 구매 예쁘다,쓰다 코디 생각
357,1ban,입다 좋다 사진,생각 쓰다 코디
358,1elbib_,좋다 예쁘다 편하다,쓰다 생각 코디
359,1hm,자다 좋다 입다,사다 쓰다 코디
360,1inza,좋다 입다 사이즈,생각 코디 사다
361,1kg_otl,좋다 입다 사이즈,생각 코디 쓰다
362,1long,좋다 사용 구입,쓰다 코디 생각
363,1mny_,예쁘다 좋다 사다,코디 쓰다 사다
364,1myung__,좋다 구매 자다,쓰다 사다 코디
365,1of1,좋다 자다 예쁘다,쓰다 코디 사다
366,1q2w3e4r!@%^,좋다 예쁘다 자다,코디 생각 사다
367,1s_2h5,좋다 예쁘다 입다,생각 코디 쓰다
368,1sy2,예쁘다 좋다 입다,생각 코디 귀엽다
369,1thek,좋다 제품 구매,쓰다 생각 코디
370,1yo,좋다 예쁘다 입다,생각 코디 쓰다
371,1yoyoyo,좋다 배송 빠르다,귀엽다 생각 만족스럽다
372,1zoo,자다 좋다 예쁘다,쓰다 코디 생각
373,1닉네임,예쁘다 좋다 입다,생각 코디 귀엽다
374,1등 신랑감,좋다 입다 맞다,생각 괜찮다 사다
375,1등급만들,좋다 입다 자다,쓰다 코디 생각
376,1등딸기,좋다 색감 예쁘다,생각 귀엽다 만족스럽다
377,1또기,좋다 마음 가격,생각 코디 쓰다
378,1숭이님,입다 저렴하다 생각,생각 쓰다 귀엽다
379,1일1곱도리탕,다니다 좋다 사다,쓰다 생각 사다
380,1코만도1,좋다 입다 색감,코디 생각 귀엽다
381,1호꿀벌,좋다 구매 자다,쓰다 생각 귀엽다
382,1횡용,좋다 재질 비도,좋다 사다 생각
383,2.75,좋다 구매 만족하다,쓰다 코디 생각
384,2002.01.02,좋다 포인트 입다,생각 코디 쓰다
385,2013호두야놀자,좋다 소재 구입,코디 귀엽다 쓰다
386,2018,좋다 편하다 사이즈,귀엽다 생각 쓰다
387,20221126,입다 좋다 예쁘다,생각 코디 귀엽다
388,2022년,좋다 입다 가격,생각 코디 쓰다
389,2024.,디자인 마음 가격,마음 디자인 느낌
390,2024년7월5일,좋다 추천 배송,괜찮다 쓰다 귀엽다
391,2038543,좋다 구매 재질,코디 사다 쓰다
392,20man,좋다 사이즈 자다,귀엽다 생각 코디
393,20학번 패피,좋다 생각 크다,생각 코디 쓰다
394,20현,좋다 입다 사다,사다 쓰다 생각
395,21197010,좋다 재질 자다,생각 코디 쓰다
396,212111,생각 좋다 자다,생각 쓰다 코디
397,2122222,예쁘다 좋다 자다,생각 코디 귀엽다
398,212bee,사이즈 좋다 입다,생각 만족스럽다 귀엽다
399,21428,좋다 제품 자다,좋다 귀엽다 사다
400,2156435,좋다 입다 예쁘다,생각 코디 쓰다
401,2183,좋다 사이즈 입다,생각 괜찮다 귀엽다
402,21C290,배송 좋다 빠르다,만족스럽다 귀엽다 쓰다
403,21m,좋다 입다 기장,생각 사다 코디
404,21nkyu,구매 좋다 가격,코디 쓰다 생각
405,21water,입다 자다 좋다,생각 쓰다 코디
406,220v,좋다 사이즈 재질,생각 쓰다 만족스럽다
407,221118,좋다 입다 편하다,생각 코디 쓰다
408,222222서키,사이즈 좋다 크다,생각 귀엽다 코디
409,222ny,구매 좋다 자다,쓰다 귀엽다 생각
410,22AM,구매 좋다 자다,쓰다 코디 귀엽다
411,22_k,좋다 입다 예쁘다,코디 쓰다 생각
412,22eedd,좋다 자다 배송,귀엽다 쓰다 만족스럽다
413,22xn,좋다 크다 편하다,생각 쓰다 코디
414,22니니,좋다 다니다 사이즈,귀엽다 생각 코디
415,23.10.23입,좋다 입다 최고,쓰다 사다 코디
416,231149,좋다 예쁘다 바르다,쓰다 코디 귀엽다
417,2328,좋다 사이즈 원단,좋다 생각 만족스럽다
418,2356886,사이즈 좋다 편하다,코디 생각 쓰다
419,2357113,좋다 입다 편하다,쓰다 사다 귀엽다
420,23916,좋다 입다 마음,생각 쓰다 코디
421,23N0,좋다 생각 사이즈,생각 구매 사이즈
422,23bb,좋다 가격 추천,사다 생각 만족스럽다
423,23dk,좋다 생각 입다,생각 쓰다 코디
424,23살 지렁이,좋다 사이즈 입다,생각 쓰다 귀엽다
425,23현,좋다 입다 사다,생각 사다 코디
426,24.choi,좋다 입다 색감,좋다 생각 귀엽다
427,240042,예쁘다 사다 로고,사다 코디 생각
428,243asd,좋다 입다 자다,쓰다 귀엽다 생각
429,248893,입다 좋다 예쁘다,쓰다 생각 코디
430,24k골드,좋다 예쁘다 입다,코디 사다 귀엽다
431,24zx,예쁘다 입다 사다,코디 사다 생각
432,24살 휴먼,좋다 사이즈 적당하다,생각 코디 괜찮다
433,24세 지은,남자친구 사주다 입다,쓰다 사다 생각
434,2521 h,좋다 가격 자다,코디 쓰다 귀엽다
435,252525252,좋다 입다 자다,쓰다 생각 사다
436,255352,좋다 입다 자다,생각 귀엽다 쓰다
437,257909,좋다 입다 예쁘다,생각 코디 귀엽다
